region,area,length,width
BC,690,24.4,1.18
BC,825,18.8,1.36
BC,709,28.8,1.11
BC,1137,13.8,1.49
BC,6793,88.8,2.27
BC,413,13,1.57
BC,403,21.3,1.33
BC,10995,60,2.38
BC,1836,43.8,2.11
BC,502,22.5,1.02
BC,4700,44,3.42
BC,938,13.8,2.41
BC,1642,36.3,2.17
BC,281,11.3,1.81
BC,8425,80,3.14
BC,926,33.8,1.76
BC,549,10,1.13
BC,9476,62.5,3.9
BC,2764,36.3,2.48
BC,1877,62.5,3.12
BC,293,16.9,0.73
BC,680,23.8,1.23
BC,4773,45,6.34
BC,357,20,2.46
BC,154,9.4,1.43
BC,320,12.5,1.22
BC,1818,27.5,1.24
BC,80,8.1,0.79
BC,303,13.8,2.64
BC,304,13.1,1.7
BC,105,10.8,1.25
BC,80,5,1.14
BC,2323,38.8,1.89
NZ,519.2,12.5,1.94
NZ,152.8,9.5,0.76
NZ,166.6,17.8,0.88
NZ,298.4,18.8,1.58
NZ,271.9,14.3,1.01
NZ,142.6,6.8,0.63
NZ,104.4,7.5,0.64
NZ,275.3,,0.88
NZ,90.3,14.5,0.96
NZ,311,,1.21
NZ,69.1,2.8,0.64
NZ,167.4,7.5,0.69
NZ,81.7,4.8,0.45
NZ,92.9,8.3,0.58
NZ,332.7,,1.19
NZ,99.8,11.3,0.73
NZ,70,10.3,0.66
NZ,178.2,19.8,0.96
NZ,211.6,,1.2
NZ,57.5,2.8,0.5
NZ,198.6,11.3,1.05
NZ,311.3,23.3,1.31
NZ,372,23.8,1.4
NZ,144.8,13.2,1.44
NZ,436.8,8.8,1.45
NZ,172.8,7.5,0.94
NZ,189.5,5.3,0.85
NZ,373,26,1.62
NZ,456.5,,3.13
NZ,196.5,9.3,1.04
NZ,273.1,15.8,1.1
NZ,123.8,4.8,1.31
NZ,568,22.3,2.13
